Date,Open,High,Low,Close,Volume
2014-01-30,31.696,31.817,31.254,31.799,40683664.0
2014-01-29,31.041,31.817,30.97,31.625,61186442.0
2014-01-28,31.161,31.394,30.839,31.29,41990982.0
2014-01-27,31.807,31.825,31.041,31.083,51557217.0
2014-01-24,32.308,32.393,31.512,31.755,89308000.0
2014-01-23,31.132,31.169,30.641,31.108,51479511.0
2014-01-22,31.28,31.335,30.839,30.994,25452637.0
2014-01-21,31.721,31.764,31.108,31.202,36602702.0
2014-01-17,31.773,31.773,31.187,31.385,53668043.0
2014-01-16,31.653,31.918,31.326,31.825,44072852.0
2014-01-15,30.955,31.738,30.929,31.712,52026492.0
2014-01-14,29.963,30.955,29.874,30.865,48251683.0
2014-01-13,31.049,31.076,30.048,30.177,53217289.0
2014-01-10,30.97,31.187,30.839,31.09,47008700.0
2014-01-09,30.955,30.979,30.542,30.65,42331083.0
2014-01-08,31.058,31.177,30.692,30.847,69525022.0
2014-01-07,31.343,31.479,31.234,31.411,41618834.0
2014-01-06,31.791,31.825,31.151,31.169,50553456.0
2014-01-03,32.09,32.109,31.575,31.842,36090662.0
2014-01-02,32.221,32.266,32.006,32.059,35521333.0
2013-12-31,32.266,32.418,32.109,32.275,20290630.0
2013-12-30,32.109,32.249,31.832,32.17,18871300.0
2013-12-27,32.418,32.452,32.066,32.17,16881495.0
2013-12-26,32.09,32.344,32.066,32.298,20416891.0
2013-12-24,31.679,32.066,31.609,31.988,16510119.0
2013-12-23,31.755,31.825,31.529,31.59,29099266.0
2013-12-20,31.227,31.861,31.221,31.747,72621743.0
2013-12-19,31.495,31.529,31.126,31.272,39599143.0
2013-12-18,31.367,31.575,30.65,31.555,73249517.0
2013-12-17,31.878,32.015,31.343,31.503,52835131.0
2013-12-16,31.643,31.918,31.52,31.817,36785535.0
2013-12-13,32.281,32.308,31.59,31.653,46451831.0
2013-12-12,32.469,32.469,32.074,32.109,41743171.0
2013-12-11,32.832,33.04,32.257,32.443,46193652.0
2013-12-10,33.299,33.557,32.8,32.876,43845317.0
2013-12-09,33.265,33.531,33.101,33.395,35093893.0
2013-12-06,33.144,33.256,32.774,33.093,42244376.0
2013-12-05,33.515,33.54,32.074,32.782,134822477.0
2013-12-04,32.964,33.628,32.885,33.594,60188695.0
